food/slgter_supplies_26jun15.csv,by quarter,Uk Beef and veal UK Production,Beef and veal Imported,Beef and veal Exported,Mutton and Lamb UK Production,Mutton and lamb Imported,Mutton and Lamb Exported,pigmeat UK Production,pigmeat Imported,pigmeat Exported,Poultry Uk Production,Poultry Imported,Poultry Exported
1985,Q1,300.2,38.3,51.8,70.7,49.8,15,239.3,84.4,16.9,217.4,11.1,7.2
1985,Q2,267.9,51.7,52.9,57.2,57.1,11.1,239.1,84.3,19.8,206,18.9,7.7
1985,Q3,265.4,66.2,45.1,94.8,39.6,13,243.2,92.9,18.6,205.4,16,8.5
1985,Q4,303.4,54,48.4,87.7,27.4,16.8,254.8,95.3,19,221.2,18.3,8.5
1986,Q1,273.9,48,46.8,63.1,34.9,14.9,243.6,81.5,19,239.6,16.1,8.8
1986,Q2,247.3,64.2,44.1,49.8,31.5,13.6,244.8,87.3,21.5,227,27.5,9.5
1986,Q3,252.2,74.3,65.7,93,48.6,19.9,249.1,87.1,20.1,226.3,23.3,10.4
1986,Q4,290.9,73.8,63.9,94.3,27.6,22.6,264.1,91.9,20.1,243.8,26.6,10.4
1987,Q1,296.5,49.6,62.1,69.4,42.9,19,251.5,83.7,19,265.7,14.9,11.8
1987,Q2,262,56.6,54.7,57.8,34.7,17.1,246.2,89.3,18.9,252.6,25.5,12.7
1987,Q3,266.4,75.3,52.5,91.5,45.8,22.7,250.6,94.5,16.4,252,21.6,13.9
1987,Q4,300.5,77.5,60.4,90.3,30.9,29.9,264.3,97.6,17.2,270.4,24.7,13.9
1988,Q1,244.4,73.7,41.5,79.6,34.3,17,261.6,91.3,20.2,293,17.4,13.5
1988,Q2,212.1,78.6,39.9,65.1,32.1,16,254.5,87.5,21.5,279,25.2,15.1
1988,Q3,225.8,77.8,37.7,95.8,44,30.1,258.7,92,20,278.2,20.6,15.8
1988,Q4,270.3,60.6,44.5,99.3,25.9,30.8,262.4,100.3,20.7,298.2,20.7,19.1
1989,Q1,257.4,54.5,39.5,89.4,34.6,22.5,242.7,93.8,20.6,273.7,18.7,15.2
1989,Q2,221,63,44.8,71.5,40.2,19.3,237,110.1,19.5,279.2,21.8,16.2
1989,Q3,235.7,63.7,47.1,113.8,39.5,30.5,238.7,102.9,22.4,268.3,22.4,18.3
1989,Q4,270.4,56.9,47.1,107.7,24.2,34,243.1,102.4,22.2,285.6,26,20.3
1990,Q1,244.3,55.3,35.9,88.1,37.9,26.1,234.8,90.9,21.2,281.8,29.8,14
1990,Q2,217.5,49.2,26.5,82.3,39.1,20,230.1,105,21.2,287.4,34.8,14.9
1990,Q3,252.7,39,33.7,110.9,41.9,23.8,244.3,100.4,20,276.2,35.9,16.8
1990,Q4,287.8,53.4,47.3,108,34.5,29.4,261.3,99.8,21.9,294.1,41.6,18.7
1991,Q1,264.3,46.2,34.5,94.6,37.8,22.9,244.4,96.7,24.6,297.2,30.6,18.1
1991,Q2,242.6,51.3,33.9,83.3,34,20.3,241.8,101.8,25.7,303.1,35.7,19.3
1991,Q3,235.9,48.4,39.8,117.4,25.9,26.7,253.6,90.3,29.7,291.3,36.8,21.8
1991,Q4,285,58.1,48.5,116.6,27.1,37.3,267.7,95.8,34.2,310.2,42.7,24.2
1992,Q1,249.7,46.9,39.4,75.5,38.6,25.2,252,87.8,39.7,297.8,41.1,20
