Updated on:,,17-Sep-15,,,,,Contact:,"Leigh Riley, Room 201, 2nd Floor, YKF,  GTN: 5137 5095",,,,,
Next update:,,15-Oct-15,,,,,Source:,"Slaughterhouse surveys, Defra, The Scottish Government, DARD (NI)",,,,,
,,,,,,,,,,,,,
,,,,,,Classification:,Public Domain,,,Units:,,,
,,,,,,,,,,,,,
,,,,,,,Adult Cattle,,,,,,
"UK monthly numbers of livestock slaughtered (based on statistical months, not calendar months)",5 week months and 5 week months in 53 week year,Prime Cattle Calves Thousand head,Prime Cattle Steers Thousand head,Prime Cattle Heifers Thousand head,Prime Cattle Young Bulls Thousand head,Prime Cattle Total Thousand head,Adult Cows Thousand head,Adult Bulls Thousand head,Adult Total Thousand head,Sheep & Lambs Thousand head,Ewes & Rams Thousand head,Clean Pigs Thousand head,Sows & Boars Thousand head
Jan-73,*,12.2,141.7,56.6, ,198.2,77.2, ,77.2,855.7,108.7,1384.5,38
Feb-73,,10.9,132.5,48.6, ,181.1,64.3, ,64.3,607.6,84.7,1133.8,32
Mar-73,,13,152.2,49.2, ,201.3,55.1, ,55.1,558.5,78.5,1146.6,29.4
Apr-73,*,12.6,195.4,58.5, ,253.8,55.8, ,55.8,599.6,96.7,1384,36
May-73,,7.1,147.6,43.7, ,191.2,42.8, ,42.8,489.8,81.4,1102.1,29.4
Jun-73,,6.3,134.6,45.6, ,180.2,41.7, ,41.7,658.3,87.2,1076,27.5
Jul-73,*,8.6,162.8,67.3, ,230.1,52.8, ,52.8,1045.9,108.9,1368.3,33.5
Aug-73,,10.1,138.8,57.6, ,196.3,49.4, ,49.4,985.9,104.7,1104.6,28.5
Sep-73,,13.1,152.6,60.6, ,213.2,63.3, ,63.3,1173.8,128.6,1212.6,35.8
Oct-73,*,19.2,195.9,81, ,276.9,91.2, ,91.2,1445.8,179.9,1487.4,47.9
Nov-73,,15.3,157.5,66.9, ,224.4,84, ,84,1124.1,134.2,1157.5,40.7
Dec-73,,13.4,145.7,56.5, ,202.3,67.7, ,67.7,910.4,109.7,1112,35.1
Jan-74,*,20.9,194.1,72.3, ,266.4,97.2,4.1,101.3,1199.8,151.4,1420.2,49.2
Feb-74,,21.2,158.2,54.6, ,212.8,82,4,86,758,103.6,1194.8,45.2
Mar-74,,28,166.7,52.4, ,219.1,76.2,4.4,80.6,554.6,84.1,1212.1,46.4
Apr-74,*,27.5,202.6,61.7, ,264.3,65.4,5.3,70.7,561.4,104,1463.2,44
May-74,,18,149.8,52.1, ,202,51.4,4.3,55.7,493.2,83.4,1110.5,37.2
Jun-74,,20.6,150.2,61.7, ,211.9,54.8,3.9,58.7,723.2,95.1,1182.7,37.9
Jul-74,*,27.7,188.6,91.6, ,280.2,75.6,4.7,80.2,1055.4,111.6,1416.9,44.1
Aug-74,,32.6,156.9,77.5, ,234.4,70.3,3.9,74.2,931,92.3,1097.1,30.5
Sep-74,,45.1,186.7,87.3, ,273.9,83,4.5,87.5,1314.8,112.2,1187.7,35.2
Oct-74,*,70.4,250,119.3, ,369.3,118.3,6.1,124.3,1762.4,167.4,1400,38.7
Nov-74,,58.1,207,106.5, ,313.5,114.4,5.7,120,1340.4,130.5,1090.1,33.7
Dec-74,,45.2,195.5,92.8, ,288.3,101.1,5.3,106.3,907.6,109.8,1029.6,27.6
