UK weekly numbers of livestock slaughtered Average per week,5 week months also occuring in a 53 week year,Prime Cattle Calves Thousand head,Prime Cattle Steers Thousand head,Prime Cattle Heifers Thousand head ,Prime Cattle Young Bulls Thousand head,Prime Cattle Total Thousand head,Adult Cows Thousand head,Adult Bulls Thousand head,Total Thousand head,Sheep & Lambs Thousand head,Ewes & Rams Thousand head,Clean Pigs Thousand head,Sows & Boars Thousand head
Jan-73,*,2.4,28.3,11.3, ,39.6,15.4, ,15.4,171.1,21.7,276.9,7.6
Feb-73,,2.7,33.1,12.2, ,45.3,16.1, ,16.1,151.9,21.2,283.5,8
Mar-73,,3.3,38.1,12.3, ,50.3,13.8, ,13.8,139.6,19.6,286.7,7.4
Apr-73,*,2.5,39.1,11.7, ,50.8,11.2, ,11.2,119.9,19.3,276.8,7.2
May-73,,1.8,36.9,10.9, ,47.8,10.7, ,10.7,122.5,20.4,275.5,7.4
Jun-73,,1.6,33.7,11.4, ,45.1,10.4, ,10.4,164.6,21.8,269,6.9
Jul-73,*,1.7,32.6,13.5, ,46,10.6, ,10.6,209.2,21.8,273.7,6.7
Aug-73,,2.5,34.7,14.4, ,49.1,12.4, ,12.4,246.5,26.2,276.2,7.1
Sep-73,,3.3,38.2,15.2, ,53.3,15.8, ,15.8,293.5,32.2,303.2,9
Oct-73,*,3.8,39.2,16.2, ,55.4,18.2, ,18.2,289.2,36,297.5,9.6
Nov-73,,3.8,39.4,16.7, ,56.1,21, ,21,281,33.6,289.4,10.2
Dec-73,,3.4,36.4,14.1, ,50.6,16.9, ,16.9,227.6,27.4,278,8.8
Jan-74,*,4.2,38.8,14.5, ,53.3,19.4,0.8,20.3,240,30.3,284,9.8
Feb-74,,5.3,39.6,13.7, ,53.2,20.5,1,21.5,189.5,25.9,298.7,11.3
Mar-74,,7,41.7,13.1, ,54.8,19.1,1.1,20.2,138.7,21,303,11.6
Apr-74,*,5.5,40.5,12.3, ,52.9,13.1,1.1,14.1,112.3,20.8,292.6,8.8
May-74,,4.5,37.5,13, ,50.5,12.9,1.1,13.9,123.3,20.9,277.6,9.3
Jun-74,,5.2,37.6,15.4, ,53,13.7,1,14.7,180.8,23.8,295.7,9.5
Jul-74,*,5.5,37.7,18.3, ,56,15.1,0.9,16,211.1,22.3,283.4,8.8
Aug-74,,8.2,39.2,19.4, ,58.6,17.6,1,18.6,232.8,23.1,274.3,7.6
Sep-74,,11.3,46.7,21.8, ,68.5,20.8,1.1,21.9,328.7,28.1,296.9,8.8
Oct-74,*,14.1,50,23.9, ,73.9,23.7,1.2,24.9,352.5,33.5,280,7.7
Nov-74,,14.5,51.8,26.6, ,78.4,28.6,1.4,30,335.1,32.6,272.5,8.4
Dec-74,,11.3,48.9,23.2, ,72.1,25.3,1.3,26.6,226.9,27.5,257.4,6.9
Jan-75,*,11.3,52.7,23.4, ,76,26,1.2,27.2,220.3,29.3,255.4,7.3
Feb-75,,13.3,52.5,23, ,75.5,23.4,1.2,24.6,177.3,26.8,258.3,8.2
Mar-75,,12.9,48.7,19.1, ,67.8,22.4,1.4,23.8,149.6,23.2,254.1,7.5
Apr-75,*,10.9,44.4,17, ,61.3,20.3,1.4,21.7,116.2,21.5,243.6,6.6
May-75,,7.9,42.9,16.8, ,59.7,17.2,1.2,18.4,146,25.6,231.3,6.1
Jun-75,,7.3,39.4,18.5, ,57.9,18.5,1.2,19.7,182.3,25.7,224.7,5.7
