food/slgter_supplies_26jun15.csv,by quarter,UK Production Total meat,Total Imported,Total Exported Carcase meat,Total Exported live,Total New Supply,Total UK production as % of supply,Uk Beef and veal UK Production,Beef and veal Imported Fresh and chilled,Beef and veal Imported Frozen,Beef and veal Exported carcase meat,Beef and veal Exported Live,Beef and veal Totsl New supply,Beef and veal,Mutton and lamb UK Production,Mutton and lamb Imported,Mutton and lamb Exported carcase weight,Mutton and lamb Exported live,Mutton and lamb Total new supply,Mutton and lamb UK production as % of supply,pigmeat UK Production,pigmeat Imported,pigmeat Exported carcase weight,pigmeat Exported live,pigmeat Total new supply,pigmeat UK production as % of supply,Poultry Uk Production,Poultry Imported ,Poultry Exported ,Poultry Total New Supply,UK production as a % Poultry
1985,,3273.8,805.1,315.7,44.6,3718.6,80.3,1136.9,122.7,87.4,184.7,13.4,1148.9,84.4,310.4,174,48.8,7.3,428.4,64.1,976.4,356.9,50.3,24,1259,73.2,850.1,64.2,32,882.3,93
1986,,3302.9,844.2,342.6,68.7,3735.7,79.6,1064.3,172.2,88.2,186,34.6,1104.1,80.3,300.3,142.6,60.1,10.9,371.8,67.8,1001.6,347.8,57.4,23.3,1268.7,74.2,936.7,93.5,39.1,991.1,90.9
1987,,3487.4,865,364.5,77.6,3910.4,80.1,1125.3,164.8,94.2,191.5,38.1,1154.6,81.3,308.9,154.3,71.2,17.4,374.5,66.7,1012.6,365.1,49.5,22.1,1306.2,73.5,1040.7,86.6,52.2,1075.1,92.3
1988,,3477.8,882.1,331.3,72,3956.5,79.8,952.6,179.7,111,133,30.6,1079.6,76.6,339.6,136.4,76,17.8,382.2,71.3,1037.2,371.1,58.8,23.6,1325.9,73.6,1148.4,83.9,63.5,1168.8,93.2
1989,,3435.2,874.6,370.6,68.7,3870.6,79.7,984.5,141.2,96.9,152.3,26.1,1044.2,80.5,382.5,138.4,89.3,17,414.6,73.4,961.5,409.2,59,25.5,1286.1,70.1,1106.7,88.9,69.9,1125.7,92.6
1990,,3501.6,888.6,323.2,68.4,3998.6,79.8,1002.3,125.5,71.4,122.3,21.2,1055.7,83.6,389.3,153.5,79.8,19.6,443.4,71.7,970.4,396.1,56.6,27.6,1282.3,71,1139.6,142.1,64.5,1217.2,88.9
1991,,3648.9,859.1,378.9,82.4,4046.7,80.9,1027.8,144.3,59.7,134.2,22.6,1075,83.4,411.8,124.8,80.3,26.9,429.5,76.7,1007.6,384.5,81,33,1278,72.4,1201.8,145.8,83.5,1264.1,89.2
1992,,3583,893.5,434.8,96.3,3945.4,80,973.3,140.9,64.7,141.1,23.8,1013.9,82.6,390.4,126.8,105.4,35.5,376.3,75.5,1001.8,377.9,103.1,37,1239.7,72.6,1217.4,183.2,85.1,1315.5,86.9
1993,,3579,911.7,492.4,112.9,3885.4,79.7,888,142.5,66.6,172.7,39.3,885,80.9,390.7,129,128.8,44,346.9,75.2,1023.4,403.8,105,29.6,1292.7,71.7,1276.9,169.8,85.9,1360.8,88.3
1994,,3762.9,912.3,614.3,102.6,3958.4,80.5,947.2,123.3,67,259.1,34.4,844,83.3,385,119.7,114.1,36.6,354.1,76.3,1060.9,388.4,129.3,31.6,1288.5,73.2,1369.8,213.9,111.9,1471.8,86.5
1995,,3831.6,1057.7,779.5,96.6,4013.2,78.4,1001.6,130,82.2,303.3,31,879.6,82.5,393,146.7,152.4,31.5,355.9,72.8,1010.1,447.9,160.3,34.2,1263.5,69.3,1426.9,250.9,163.5,1514.3,85
1996,,3561.4,1136.2,536.2,70.6,4090.9,75.8,710.4,110.5,58.6,75.1,5,799.3,80.8,372.9,156.2,122.8,30.2,376.1,70.5,996.8,530.4,165.7,35.4,1326.1,65.3,1481.3,280.6,172.5,1589.3,84.1
1997,,3656.4,1126.6,568.1,47.1,4167.8,76.4,698.3,152.9,63.6,13.3, ,901.5,76.3,341.7,151.7,108.7,23.2,361.5,69.3,1089.6,481.9,233.5,23.9,1314.2,69.3,1526.7,276.5,212.6,1590.7,84.7
1998,,3743.6,1088.8,599.8,42.7,4190,77.5,694.8,111.8,40.8,9, ,838.4,82,372.6,140.9,109.3,25.9,378.4,72.6,1128.1,479.8,284.1,16.8,1307,70.2,1548.2,315.4,197.4,1666.2,83.1
1999,,3662.1,1187.7,542.8,38.5,4268.5,75.5,678.9,139.1,44.2,10.5, ,851.6,78.7,391.7,137.1,109.9,33.1,385.8,74.1,1042.3,518.3,235.6,5.4,1319.5,66.8,1549.2,349.1,186.7,1711.6,81.6
2000,,3515.3,1289.8,495.7,29.4,4280,73.2,704.5,146.2,50.5,8.8, ,892.4,78.2,382.7,134.1,99.2,25.8,391.9,74,906.5,603.7,213.9,3.5,1292.8,60,1521.5,355.2,173.7,1703,81.1
2001,,3259.8,1324.9,272.4,8.9,4303.4,71.1,644.6,192.2,71.3,8.3, ,899.8,71,266.6,113.3,30.8,7.9,341.3,70.2,776.9,602.2,46.7,1.1,1331.3,56.3,1571.7,345.9,186.6,1731,82
2002,,3333.1,1467.4,392,9.8,4398.6,69.4,694.3,217.5,81.5,10.3, ,983,69.9,307.3,122.7,62.1,7.5,360.3,71.5,774.4,679.6,106,2.3,1345.8,53.3,1557,366.1,213.6,1709.5,81
2003,,3258,1660.8,437,9.1,4472.8,66.2,703.2,213.9,93.2,10.7, ,999.7,69.6,309.8,136,77.1,7.2,361.5,69.5,687.9,805.9,89.2,1.9,1402.7,46.1,1557.1,411.8,259.9,1709,79.1
2004,,3264.6,1751.8,462.8,13.7,4539.9,65.1,723.6,233.6,89.5,12.8, ,1033.9,69.1,319.2,141.8,77.5,8.3,375.2,69.2,678.6,810.5,104.6,5.4,1379.1,45.6,1543,476.4,267.9,1751.6,76.4
2005,,3340.9,1746,470.5,12.5,4604,65.7,764.8,215.4,71.6,14.4, ,1037.5,72.7,336.7,132.7,86.1,7.5,375.8,71.7,669.3,842.1,108.7,4.9,1397.6,44.3,1570.2,484.2,261.3,1793.1,76.4
2006,,3365,1705.1,485.7,15.4,4569.1,66.4,852.1,199.1,70.7,52.5,,1069.4,76,333.5,139.7,88.6,6.2,378.4,70.5,667.5,844.2,111.1,9.2,1391.3,44.2,1511.9,451.5,233.5,1729.9,77
2007,,3391,1746.1,556.6,15.1,4565.4,66,888.5,205.9,72.8,76.7,,1090.5,76.1,329.5,137,69.9,6.4,390.1,70.6,706.7,869.4,116.4,8.7,1451,44.8,1466.4,461,293.6,1633.8,76.1
2008,,3367.6,1650.6,618.8,9.5,4390,67.1,866,215.7,79.7,100.6,,1060.8,74.6,331.6,135.8,88.2,6.9,372.3,70.9,705.7,813,151.8,2.6,1364.2,46.5,1464.4,406.5,278.2,1592.7,78.3
2009,,3276.7,1677.3,584.3,8.3,4361.4,66.1,823.4,207.8,90.4,99.4,,1022.2,73.4,313.1,143.1,98.4,7.5,350.3,68.6,681.2,815.7,134.1,0.8,1362,45.5,1459,420.2,252.5,1626.8,77.6
2010,,3466.1,1720.3,656.9,10.8,4518.7,66.8,897.4,219.9,87,128.8,,1075.5,74.5,286.8,128.3,92.1,10,313.1,69.1,712.2,810.8,168.5,0.8,1353.7,46.8,1569.7,474.3,267.6,1776.4,76.8
2011,,3548.4,1710.9,753.2,12.8,4493.3,67.5,931.5,221.5,80.2,170.8,,1062.4,75.5,300.7,109.6,99.7,11.6,299,73.3,756.8,783.5,191.7,1.1,1347.4,49.1,1559.5,516,290.9,1784.5,75.1
2012,,3547.7,1625,703.6,11.8,4457.2,68.6,876.9,217.8,87.4,142.1,,1039.9,74.2,285.7,106,98.1,10.3,283.3,72.9,776,733.6,180.7,1.5,1327.3,51.4,1609,480.3,282.7,1806.7,77
2013,,3589.2,1638,754.5,12.8,4459.9,68.7,840.2,223,86.4,126.2,,1023.4,73.1,300.4,119.7,108.4,11,300.8,71.5,787.1,726.3,206.2,1.8,1305.3,52,1661.4,482.5,313.6,1830.3,77.5
2014,,3640.8,1681.4,794.7,11.6,4515.8,68.4,871.7,238.2,86.1,135.2,,1060.8,72.9,307.2,112.1,107.3,9.7,302.3,73.3,819.5,736.2,216.6,2,1337.2,52.7,1642.4,508.8,335.7,1815.6,76.3
1985,Q1,827.6,183.5,80.9,10,920.2,81.9,300.2,19.5,18.8,48.1,3.7,286.6,88.7,70.6,49.8,14,1,105.5,58.6,239.3,84.4,11.6,5.3,306.7,73.9,217.4,11.1,7.2,221.3,95.2
